SYMBOL,CLOSING PRICE,DAY,DATE
T,40.799999,0,2017-01-09
T,41.32,4,2017-01-06
T,41.950001,3,2017-02-23
T,41.59,2,2017-02-22
T,41.119999,2,2017-02-15
T,40.75,1,2017-02-14
T,41.060001,0,2017-02-06
T,41.25,4,2017-02-03
T,41.360001,1,2017-01-24
T,42.00,0,2017-01-23
T,42.16,1,2017-01-31
T,41.82,0,2017-01-30
T,40.799999,2,2017-01-18
T,41.110001,1,2017-01-17
T,41.310001,3,2017-02-09
T,41.209999,2,2017-02-08
T,42.650002,3,2017-01-05
T,42.77,2,2017-01-04
T,42.00,0,2017-01-23
T,41.450001,4,2017-01-20
T,42.009998,4,2017-03-03
T,42.07,3,2017-03-02
T,41.009998,3,2017-01-12
T,40.610001,2,2017-01-11
T,40.810001,1,2017-01-10
T,40.799999,0,2017-01-09
T,41.959999,0,2017-03-06
T,42.009998,4,2017-03-03
T,41.77,2,2017-03-08
T,41.880001,1,2017-03-07
T,41.68,4,2017-03-24
T,41.650002,3,2017-03-23
T,42.080002,1,2017-03-21
T,42.419998,0,2017-03-20
T,42.610001,4,2017-03-17
T,42.439999,3,2017-03-16
T,41.77,3,2017-01-26
T,41.389999,2,2017-01-25
T,40.650002,0,2017-02-13
T,41.380001,4,2017-02-10
T,41.380001,4,2017-02-10
T,41.310001,3,2017-02-09
T,41.549999,4,2017-03-31
T,41.759998,3,2017-03-30
T,41.32,4,2017-01-06
T,42.650002,3,2017-01-05
T,41.25,3,2017-02-16
T,41.119999,2,2017-02-15
T,41.18,3,2017-02-02
T,42.060001,2,2017-02-01
T,42.09,1,2017-03-14
T,42.369999,0,2017-03-13
T,41.82,0,2017-02-27
T,42.360001,4,2017-02-24
T,42.77,2,2017-01-04
T,43.02,1,2017-01-03
T,42.419998,0,2017-03-20
T,42.610001,4,2017-03-17
T,41.790001,1,2017-02-28
T,41.82,0,2017-02-27
T,42.060001,2,2017-02-01
T,42.16,1,2017-01-31
T,42.07,3,2017-03-02
T,42.040001,2,2017-03-01
T,41.00,3,2017-01-19
T,40.799999,2,2017-01-18
T,41.560001,1,2017-03-28
T,41.490002,0,2017-03-27
T,40.610001,2,2017-01-11
T,40.810001,1,2017-01-10
T,41.110001,1,2017-01-17
T,40.959999,4,2017-01-13
T,41.25,4,2017-02-03
T,41.18,3,2017-02-02
T,42.009998,4,2017-01-27
T,41.77,3,2017-01-26
T,41.650002,2,2017-03-22
T,42.080002,1,2017-03-21
T,41.73,1,2017-02-21
T,41.48,4,2017-02-17
T,41.450001,4,2017-01-20
T,41.00,3,2017-01-19
T,41.490002,0,2017-03-27
T,41.68,4,2017-03-24
T,42.369999,0,2017-03-13
T,42.349998,4,2017-03-10
T,41.209999,2,2017-02-08
T,41.119999,1,2017-02-07
T,40.75,1,2017-02-14
T,40.650002,0,2017-02-13
T,40.959999,4,2017-01-13
T,41.009998,3,2017-01-12
T,41.48,4,2017-02-17
T,41.25,3,2017-02-16
T,42.439999,3,2017-03-16
T,42.59,2,2017-03-15
T,41.939999,3,2017-03-09
T,41.77,2,2017-03-08
T,41.759998,3,2017-03-30
T,41.450001,2,2017-03-29
T,42.360001,4,2017-02-24
T,41.950001,3,2017-02-23
T,41.82,0,2017-01-30
T,42.009998,4,2017-01-27
