SYMBOL,CLOSING PRICE,DAY,DATE
S,4.95,4,2015-03-20
S,5.08,0,2015-03-23
S,4.97,1,2015-03-24
S,4.76,2,2015-03-25
S,4.79,3,2015-03-26
S,4.72,4,2015-03-27
S,4.75,0,2015-03-30
S,4.74,1,2015-03-31
S,4.73,2,2015-04-01
S,4.85,3,2015-04-02
S,4.97,0,2015-04-06
S,4.99,1,2015-04-07
S,4.91,2,2015-04-08
S,4.93,3,2015-04-09
S,4.97,4,2015-04-10
S,4.98,0,2015-04-13
S,4.99,1,2015-04-14
S,5.04,2,2015-04-15
S,5.1,3,2015-04-16
S,5.11,4,2015-04-17
S,4.99,0,2015-04-20
S,4.98,1,2015-04-21
S,5.08,2,2015-04-22
S,5.24,3,2015-04-23
S,5.27,4,2015-04-24
S,5.26,0,2015-04-27
S,5.29,1,2015-04-28
S,5.3,2,2015-04-29
S,5.13,3,2015-04-30
S,5.22,4,2015-05-01
S,5.15,0,2015-05-04
S,4.99,1,2015-05-05
S,4.84,2,2015-05-06
S,4.73,3,2015-05-07
S,4.77,4,2015-05-08
S,4.7,0,2015-05-11
S,4.66,1,2015-05-12
S,4.67,2,2015-05-13
S,4.74,3,2015-05-14
S,4.82,4,2015-05-15
S,4.81,0,2015-05-18
S,4.73,1,2015-05-19
S,4.7,2,2015-05-20
S,4.72,3,2015-05-21
S,4.69,4,2015-05-22
S,4.73,1,2015-05-26
S,4.72,2,2015-05-27
S,4.63,3,2015-05-28
S,4.65,4,2015-05-29
S,4.64,0,2015-06-01
S,4.69,1,2015-06-02
S,4.75,2,2015-06-03
S,4.46,3,2015-06-04
S,4.42,4,2015-06-05
S,4.5,0,2015-06-08
S,4.53,1,2015-06-09
S,4.54,2,2015-06-10
S,4.67,3,2015-06-11
S,4.63,4,2015-06-12
S,4.62,0,2015-06-15
S,3.62,3,2015-12-31
S,3.52,0,2016-01-04
S,3.58,1,2016-01-05
S,3.59,2,2016-01-06
S,3.35,3,2016-01-07
S,3.4,4,2016-01-08
S,3.36,0,2016-01-11
S,3.37,1,2016-01-12
S,3.1,2,2016-01-13
S,3.19,3,2016-01-14
