SYMBOL,CLOSING PRICE,DAY,DATE
TMUS,33.14,4,2015-03-20
TMUS,33.15,0,2015-03-23
TMUS,32.98,1,2015-03-24
TMUS,32.34,2,2015-03-25
TMUS,32.46,3,2015-03-26
TMUS,32.38,4,2015-03-27
TMUS,32.3,0,2015-03-30
TMUS,31.69,1,2015-03-31
TMUS,31.64,2,2015-04-01
TMUS,32.96,3,2015-04-02
TMUS,33.08,0,2015-04-06
TMUS,32.98,1,2015-04-07
TMUS,32.77,2,2015-04-08
TMUS,32.38,3,2015-04-09
TMUS,32.06,4,2015-04-10
TMUS,31.49,0,2015-04-13
TMUS,31.87,1,2015-04-14
TMUS,32.01,2,2015-04-15
TMUS,32.06,3,2015-04-16
TMUS,32.09,4,2015-04-17
TMUS,32.69,0,2015-04-20
TMUS,33.35,1,2015-04-21
TMUS,34.09,2,2015-04-22
TMUS,34.44,3,2015-04-23
TMUS,34.31,4,2015-04-24
TMUS,34.06,0,2015-04-27
TMUS,33.97,1,2015-04-28
TMUS,34.62,2,2015-04-29
TMUS,34.04,3,2015-04-30
TMUS,33.85,4,2015-05-01
TMUS,34.15,0,2015-05-04
TMUS,33.8,1,2015-05-05
TMUS,33.3,2,2015-05-06
TMUS,33.3,3,2015-05-07
TMUS,33.77,4,2015-05-08
TMUS,33.97,0,2015-05-11
TMUS,34.56,1,2015-05-12
TMUS,33.93,2,2015-05-13
TMUS,34.08,3,2015-05-14
TMUS,34.4,4,2015-05-15
TMUS,34.83,0,2015-05-18
TMUS,34.4,1,2015-05-19
TMUS,35.21,2,2015-05-20
TMUS,36.25,3,2015-05-21
TMUS,36.68,4,2015-05-22
TMUS,38.55,1,2015-05-26
TMUS,38.65,2,2015-05-27
TMUS,38.32,3,2015-05-28
TMUS,38.88,4,2015-05-29
TMUS,38.89,0,2015-06-01
TMUS,38.64,1,2015-06-02
TMUS,38.33,2,2015-06-03
TMUS,39.34,3,2015-06-04
TMUS,40.24,4,2015-06-05
TMUS,39.48,0,2015-06-08
TMUS,38.790001,1,2015-06-09
TMUS,38.66,2,2015-06-10
TMUS,38.119999,3,2015-06-11
TMUS,39,4,2015-06-12
TMUS,38.959999,0,2015-06-15
TMUS,39.119999,3,2015-12-31
TMUS,38.950001,0,2016-01-04
TMUS,40.220001,1,2016-01-05
TMUS,40.049999,2,2016-01-06
TMUS,40.509998,3,2016-01-07
TMUS,39.880001,4,2016-01-08
TMUS,39.68,0,2016-01-11
TMUS,40.060001,1,2016-01-12
TMUS,38.849998,2,2016-01-13
TMUS,39.389999,3,2016-01-14
TMUS,37.790001,4,2016-01-15
TMUS,37.650002,1,2016-01-19
TMUS,37.360001,2,2016-01-20
TMUS,37.099998,3,2016-01-21
TMUS,37.849998,4,2016-01-22
TMUS,37.889999,0,2016-01-25
TMUS,39.43,1,2016-01-26
TMUS,38.5,2,2016-01-27
TMUS,38.669998,3,2016-01-28
TMUS,40.150002,4,2016-01-29
TMUS,40.59,0,2016-02-01
TMUS,39.27,1,2016-02-02
TMUS,38.34,2,2016-02-03
TMUS,38.700001,3,2016-02-04
TMUS,35.66,4,2016-02-05
TMUS,33.959999,0,2016-02-08
TMUS,33.889999,1,2016-02-09
TMUS,34.57,2,2016-02-10
TMUS,34.029999,3,2016-02-11
TMUS,35.110001,4,2016-02-12
TMUS,36.450001,1,2016-02-16
TMUS,36.849998,2,2016-02-17
TMUS,36.630001,3,2016-02-18
TMUS,34.950001,4,2016-02-19
TMUS,35.830002,0,2016-02-22
TMUS,36.200001,1,2016-02-23
TMUS,36.779999,2,2016-02-24
TMUS,38.360001,3,2016-02-25
TMUS,37.470001,4,2016-02-26
TMUS,37.099998,0,2016-02-29
TMUS,38.650002,1,2016-03-01
TMUS,38.77,2,2016-03-02
TMUS,38.970001,3,2016-03-03
TMUS,38.48,4,2016-03-04
TMUS,38.639999,0,2016-03-07
TMUS,38.950001,1,2016-03-08
TMUS,38.200001,2,2016-03-09
TMUS,37.57,3,2016-03-10
TMUS,37.75,4,2016-03-11
TMUS,37.09,0,2016-03-14
TMUS,36.77,1,2016-03-15
TMUS,37.18,2,2016-03-16
TMUS,37.16,3,2016-03-17
TMUS,36.93,4,2016-03-18
TMUS,37.349998,0,2016-03-21
TMUS,37.279999,1,2016-03-22
TMUS,37.07,2,2016-03-23
TMUS,37,3,2016-03-24
TMUS,37.040001,0,2016-03-28
TMUS,38.43,1,2016-03-29
TMUS,38.439999,2,2016-03-30
TMUS,38.299999,3,2016-03-31
TMUS,39.360001,4,2016-04-01
TMUS,39.66,0,2016-04-04
TMUS,39.139999,1,2016-04-05
TMUS,39.099998,2,2016-04-06
TMUS,38.82,3,2016-04-07
TMUS,38.700001,4,2016-04-08
TMUS,38.639999,0,2016-04-11
TMUS,38.889999,1,2016-04-12
TMUS,38.849998,2,2016-04-13
TMUS,38.810001,3,2016-04-14
TMUS,39.290001,4,2016-04-15
TMUS,39.25,0,2016-04-18
TMUS,39.849998,1,2016-04-19
TMUS,40.150002,2,2016-04-20
TMUS,40.25,3,2016-04-21
TMUS,40.220001,4,2016-04-22
TMUS,41.18,0,2016-04-25
TMUS,39.330002,1,2016-04-26
TMUS,39.700001,2,2016-04-27
TMUS,39.759998,3,2016-04-28
TMUS,39.279999,4,2016-04-29
TMUS,39.990002,0,2016-05-02
TMUS,39.66,1,2016-05-03
TMUS,39.099998,2,2016-05-04
TMUS,39.25,3,2016-05-05
TMUS,39.490002,4,2016-05-06
TMUS,39.900002,0,2016-05-09
TMUS,40.810001,1,2016-05-10
TMUS,40.82,2,2016-05-11
TMUS,40.720001,3,2016-05-12
TMUS,40.639999,4,2016-05-13
TMUS,40.619999,0,2016-05-16
TMUS,40.720001,1,2016-05-17
TMUS,40.68,2,2016-05-18
TMUS,40.810001,3,2016-05-19
TMUS,41.700001,4,2016-05-20
TMUS,41.639999,0,2016-05-23
TMUS,41.869999,1,2016-05-24
TMUS,42.119999,2,2016-05-25
TMUS,42.630001,3,2016-05-26
TMUS,42.540001,4,2016-05-27
TMUS,42.759998,1,2016-05-31
TMUS,42.619999,2,2016-06-01
TMUS,43.189999,3,2016-06-02
TMUS,43.630001,4,2016-06-03
TMUS,43.07,0,2016-06-06
TMUS,43.740002,1,2016-06-07
TMUS,43.91,2,2016-06-08
TMUS,43.080002,3,2016-06-09
TMUS,41.93,4,2016-06-10
TMUS,42.07,0,2016-06-13
TMUS,42.349998,1,2016-06-14
TMUS,41.66,2,2016-06-15
TMUS,41.759998,3,2016-06-16
TMUS,41.77,4,2016-06-17
TMUS,42.279999,0,2016-06-20
TMUS,42.919998,1,2016-06-21
TMUS,42.700001,2,2016-06-22
TMUS,43.669998,3,2016-06-23
TMUS,41.099998,4,2016-06-24
TMUS,41.200001,0,2016-06-27
TMUS,42.509998,1,2016-06-28
TMUS,43.450001,2,2016-06-29
TMUS,43.27,3,2016-06-30
TMUS,42.990002,4,2016-07-01
TMUS,43.209999,1,2016-07-05
TMUS,43.150002,2,2016-07-06
TMUS,42.959999,3,2016-07-07
TMUS,43.580002,4,2016-07-08
TMUS,44.040001,0,2016-07-11
TMUS,43.639999,1,2016-07-12
TMUS,44.209999,2,2016-07-13
TMUS,44.029999,3,2016-07-14
TMUS,44.41,4,2016-07-15
TMUS,44.369999,0,2016-07-18
TMUS,44.380001,1,2016-07-19
TMUS,44.540001,2,2016-07-20
TMUS,44.669998,3,2016-07-21
TMUS,45.439999,4,2016-07-22
TMUS,45.040001,0,2016-07-25
TMUS,44.98,1,2016-07-26
TMUS,45.639999,2,2016-07-27
TMUS,46.220001,3,2016-07-28
TMUS,46.34,4,2016-07-29
TMUS,47.07,0,2016-08-01
TMUS,46.810001,1,2016-08-02
TMUS,47.209999,2,2016-08-03
TMUS,47.330002,3,2016-08-04
TMUS,47.779999,4,2016-08-05
TMUS,47.610001,0,2016-08-08
TMUS,47.639999,1,2016-08-09
TMUS,47.200001,2,2016-08-10
TMUS,46.830002,3,2016-08-11
TMUS,46.950001,4,2016-08-12
TMUS,46.77,0,2016-08-15
TMUS,46.240002,1,2016-08-16
TMUS,46.380001,2,2016-08-17
TMUS,46.98,3,2016-08-18
TMUS,46.27,4,2016-08-19
TMUS,46.709999,0,2016-08-22
TMUS,46.830002,1,2016-08-23
TMUS,46.209999,2,2016-08-24
TMUS,46.279999,3,2016-08-25
TMUS,45.959999,4,2016-08-26
TMUS,46.73,0,2016-08-29
TMUS,46.099998,1,2016-08-30
TMUS,46.34,2,2016-08-31
TMUS,46.25,3,2016-09-01
TMUS,47.290001,4,2016-09-02
TMUS,47.209999,1,2016-09-06
TMUS,46.73,2,2016-09-07
TMUS,46.709999,3,2016-09-08
TMUS,44.639999,4,2016-09-09
TMUS,45.93,0,2016-09-12
TMUS,45.34,1,2016-09-13
TMUS,45.869999,2,2016-09-14
TMUS,47.18,3,2016-09-15
TMUS,46.549999,4,2016-09-16
TMUS,45.93,0,2016-09-19
TMUS,44.5,1,2016-09-20
TMUS,45.880001,2,2016-09-21
TMUS,47.029999,3,2016-09-22
TMUS,47.290001,4,2016-09-23
TMUS,46.919998,0,2016-09-26
TMUS,46.900002,1,2016-09-27
TMUS,46.810001,2,2016-09-28
TMUS,46.459999,3,2016-09-29
TMUS,46.720001,4,2016-09-30
TMUS,46.880001,0,2016-10-03
TMUS,46.75,1,2016-10-04
TMUS,46.07,2,2016-10-05
TMUS,45.5,3,2016-10-06
TMUS,45.27,4,2016-10-07
TMUS,46.150002,0,2016-10-10
TMUS,45.610001,1,2016-10-11
TMUS,46.029999,2,2016-10-12
TMUS,46.009998,3,2016-10-13
TMUS,46.23,4,2016-10-14
TMUS,46.52,0,2016-10-17
TMUS,47.349998,1,2016-10-18
TMUS,47.32,2,2016-10-19
TMUS,47.049999,3,2016-10-20
TMUS,46.75,4,2016-10-21
TMUS,51.189999,0,2016-10-24
TMUS,49.599998,1,2016-10-25
TMUS,49.5,2,2016-10-26
TMUS,49.5,3,2016-10-27
TMUS,49.349998,4,2016-10-28
TMUS,49.73,0,2016-10-31
TMUS,49.290001,1,2016-11-01
TMUS,49.18,2,2016-11-02
TMUS,49.52,3,2016-11-03
TMUS,49.349998,4,2016-11-04
TMUS,50.349998,0,2016-11-07
TMUS,50.459999,1,2016-11-08
TMUS,53.009998,2,2016-11-09
TMUS,52.18,3,2016-11-10
TMUS,52.540001,4,2016-11-11
TMUS,52.919998,0,2016-11-14
TMUS,53.459999,1,2016-11-15
TMUS,52.73,2,2016-11-16
TMUS,53.389999,3,2016-11-17
TMUS,53.59,4,2016-11-18
TMUS,53.720001,0,2016-11-21
TMUS,54.240002,1,2016-11-22
TMUS,54.34,2,2016-11-23
TMUS,54.59,4,2016-11-25
TMUS,54.98,0,2016-11-28
TMUS,55.389999,1,2016-11-29
TMUS,54.209999,2,2016-11-30
TMUS,54.259998,3,2016-12-01
TMUS,54.439999,4,2016-12-02
TMUS,55.02,0,2016-12-05
TMUS,55.990002,1,2016-12-06
TMUS,58.389999,2,2016-12-07
TMUS,58.549999,3,2016-12-08
TMUS,56.740002,4,2016-12-09
TMUS,56.130001,0,2016-12-12
TMUS,56.650002,1,2016-12-13
TMUS,56.549999,2,2016-12-14
TMUS,57.25,3,2016-12-15
TMUS,57.009998,4,2016-12-16
TMUS,57.799999,0,2016-12-19
TMUS,58.060001,1,2016-12-20
TMUS,57.82,2,2016-12-21
TMUS,58.080002,3,2016-12-22
TMUS,58.02,4,2016-12-23
TMUS,58.32,1,2016-12-27
TMUS,58,2,2016-12-28
TMUS,58.049999,3,2016-12-29
TMUS,57.509998,4,2016-12-30
TMUS,58.32,1,2017-01-03
TMUS,58.82,2,2017-01-04
TMUS,57.610001,3,2017-01-05
TMUS,56.77,4,2017-01-06
TMUS,56.669998,0,2017-01-09
TMUS,58.740002,1,2017-01-10
TMUS,57.459999,2,2017-01-11
TMUS,57.150002,3,2017-01-12
TMUS,57.189999,4,2017-01-13
TMUS,57.049999,1,2017-01-17
TMUS,58.66,2,2017-01-18
TMUS,60.07,3,2017-01-19
TMUS,59.619999,4,2017-01-20
TMUS,60.240002,0,2017-01-23
TMUS,60.220001,1,2017-01-24
TMUS,60.740002,2,2017-01-25
TMUS,63.369999,3,2017-01-26
TMUS,62.419998,4,2017-01-27
TMUS,61.130001,0,2017-01-30
TMUS,62.27,1,2017-01-31
TMUS,63.259998,2,2017-02-01
TMUS,61.150002,3,2017-02-02
TMUS,61.360001,4,2017-02-03
TMUS,60.959999,0,2017-02-06
TMUS,61.889999,1,2017-02-07
TMUS,61.889999,2,2017-02-08
TMUS,62.25,3,2017-02-09
TMUS,62.389999,4,2017-02-10
TMUS,60.900002,0,2017-02-13
TMUS,61.599998,1,2017-02-14
TMUS,61.299999,2,2017-02-15
TMUS,60.610001,3,2017-02-16
TMUS,63.919998,4,2017-02-17
TMUS,63.200001,1,2017-02-21
TMUS,63.080002,2,2017-02-22
TMUS,62.07,3,2017-02-23
TMUS,62.209999,4,2017-02-24
TMUS,62.169998,0,2017-02-27
TMUS,62.529999,1,2017-02-28
TMUS,62.34,2,2017-03-01
TMUS,62.540001,3,2017-03-02
TMUS,63.560001,4,2017-03-03
TMUS,62.84,0,2017-03-06
TMUS,61.630001,1,2017-03-07
TMUS,61.41,2,2017-03-08
TMUS,61.139999,3,2017-03-09
TMUS,61.48,4,2017-03-10
TMUS,61.84,0,2017-03-13
TMUS,61.349998,1,2017-03-14
TMUS,62.990002,2,2017-03-15
TMUS,62.389999,3,2017-03-16
TMUS,63.5,4,2017-03-17
TMUS,63.110001,0,2017-03-20
TMUS,62.470001,1,2017-03-21
TMUS,63.27,2,2017-03-22
TMUS,63.119999,3,2017-03-23
TMUS,64.169998,4,2017-03-24
TMUS,64.220001,0,2017-03-27
TMUS,64.230003,1,2017-03-28
TMUS,64.739998,2,2017-03-29
TMUS,65.129997,3,2017-03-30
TMUS,64.589996,4,2017-03-31
