SYMBOL,CLOSING PRICE,DAY,DATE
VZA,26.610001,0,2017-01-09
VZA,26.299999,4,2017-01-06
VZA,26.190001,3,2017-02-23
VZA,26.17,2,2017-02-22
VZA,26.42,2,2017-02-15
VZA,26.299999,1,2017-02-14
VZA,26.32,0,2017-02-06
VZA,26.35,4,2017-02-03
VZA,26.709999,1,2017-01-24
VZA,26.98,0,2017-01-23
VZA,26.42,1,2017-01-31
VZA,26.540001,0,2017-01-30
VZA,26.35,2,2017-01-18
VZA,26.75,1,2017-01-17
VZA,26.299999,3,2017-02-09
VZA,26.309999,2,2017-02-08
VZA,26.26,3,2017-01-05
VZA,26.48,2,2017-01-04
VZA,26.98,0,2017-01-23
VZA,26.49,4,2017-01-20
VZA,26.10,4,2017-03-03
VZA,26.09,3,2017-03-02
VZA,26.860001,3,2017-01-12
VZA,26.629999,2,2017-01-11
VZA,26.82,1,2017-01-10
VZA,26.610001,0,2017-01-09
VZA,26.190001,0,2017-03-06
VZA,26.10,4,2017-03-03
VZA,25.98,2,2017-03-08
VZA,26.290001,1,2017-03-07
VZA,26.219999,4,2017-03-24
VZA,26.219999,3,2017-03-23
VZA,26.129999,1,2017-03-21
VZA,26.18,0,2017-03-20
VZA,26.139999,4,2017-03-17
VZA,26.27,3,2017-03-16
VZA,26.75,3,2017-01-26
VZA,26.82,2,2017-01-25
VZA,26.23,0,2017-02-13
VZA,26.25,4,2017-02-10
VZA,26.25,4,2017-02-10
VZA,26.299999,3,2017-02-09
VZA,26.43,4,2017-03-31
VZA,26.360001,3,2017-03-30
VZA,26.299999,4,2017-01-06
VZA,26.26,3,2017-01-05
VZA,26.43,3,2017-02-16
VZA,26.42,2,2017-02-15
VZA,26.280001,3,2017-02-02
VZA,26.360001,2,2017-02-01
VZA,26.25,1,2017-03-14
VZA,25.940001,0,2017-03-13
VZA,26.08,0,2017-02-27
VZA,26.120001,4,2017-02-24
VZA,26.08,1,2017-01-03
VZA,26.18,0,2017-03-20
VZA,26.139999,4,2017-03-17
VZA,26.049999,1,2017-02-28
VZA,26.08,0,2017-02-27
VZA,26.360001,2,2017-02-01
VZA,26.42,1,2017-01-31
VZA,26.09,3,2017-03-02
VZA,25.99,2,2017-03-01
VZA,26.40,3,2017-01-19
VZA,26.35,2,2017-01-18
VZA,26.209999,1,2017-03-28
VZA,26.219999,0,2017-03-27
VZA,26.629999,2,2017-01-11
VZA,26.82,1,2017-01-10
VZA,26.75,1,2017-01-17
VZA,26.799999,4,2017-01-13
VZA,26.35,4,2017-02-03
VZA,26.280001,3,2017-02-02
VZA,26.559999,4,2017-01-27
VZA,26.75,3,2017-01-26
VZA,26.07,2,2017-03-22
VZA,26.129999,1,2017-03-21
VZA,26.23,1,2017-02-21
VZA,26.34,4,2017-02-17
VZA,26.49,4,2017-01-20
VZA,26.40,3,2017-01-19
VZA,26.219999,0,2017-03-27
VZA,26.219999,4,2017-03-24
VZA,25.940001,0,2017-03-13
VZA,25.879999,4,2017-03-10
VZA,26.309999,2,2017-02-08
VZA,26.290001,1,2017-02-07
VZA,26.299999,1,2017-02-14
VZA,26.23,0,2017-02-13
VZA,26.799999,4,2017-01-13
VZA,26.860001,3,2017-01-12
VZA,26.34,4,2017-02-17
VZA,26.43,3,2017-02-16
VZA,26.27,3,2017-03-16
VZA,26.24,2,2017-03-15
