SYMBOL,CLOSING PRICE,DAY,DATE
VZ,49.56,4,2015-03-20
VZ,49.64,0,2015-03-23
VZ,49.41,1,2015-03-24
VZ,48.73,2,2015-03-25
VZ,48.42,3,2015-03-26
VZ,48.56,4,2015-03-27
VZ,49.12,0,2015-03-30
VZ,48.63,1,2015-03-31
VZ,48.92,2,2015-04-01
VZ,49.47,3,2015-04-02
VZ,49.63,0,2015-04-06
VZ,49.27,1,2015-04-07
VZ,49.13,2,2015-04-08
VZ,49.01,3,2015-04-09
VZ,49.22,4,2015-04-10
VZ,49.04,0,2015-04-13
VZ,49.18,1,2015-04-14
VZ,49.39,2,2015-04-15
VZ,49.27,3,2015-04-16
VZ,48.9,4,2015-04-17
VZ,49.38,0,2015-04-20
VZ,49.17,1,2015-04-21
VZ,49.57,2,2015-04-22
VZ,50.05,3,2015-04-23
VZ,50.03,4,2015-04-24
VZ,50.08,0,2015-04-27
VZ,50.55,1,2015-04-28
VZ,50.47,2,2015-04-29
VZ,50.44,3,2015-04-30
VZ,50.41,4,2015-05-01
VZ,50.52,0,2015-05-04
VZ,50.09,1,2015-05-05
VZ,49.64,2,2015-05-06
VZ,49.73,3,2015-05-07
VZ,50.14,4,2015-05-08
VZ,49.8,0,2015-05-11
VZ,49.62,1,2015-05-12
VZ,49.73,2,2015-05-13
VZ,49.97,3,2015-05-14
VZ,49.79,4,2015-05-15
VZ,49.6,0,2015-05-18
VZ,49.55,1,2015-05-19
VZ,49.69,2,2015-05-20
VZ,49.9,3,2015-05-21
VZ,49.61,4,2015-05-22
VZ,49.42,1,2015-05-26
VZ,49.57,2,2015-05-27
VZ,49.54,3,2015-05-28
VZ,49.44,4,2015-05-29
VZ,49.22,0,2015-06-01
VZ,49.14,1,2015-06-02
VZ,49.08,2,2015-06-03
VZ,48.1,3,2015-06-04
VZ,47.23,4,2015-06-05
VZ,47.439999,0,2015-06-08
VZ,47.34,1,2015-06-09
VZ,47.470001,2,2015-06-10
VZ,47.759998,3,2015-06-11
VZ,47.25,4,2015-06-12
VZ,47,0,2015-06-15
VZ,46.220001,3,2015-12-31
VZ,45.869999,0,2016-01-04
VZ,46.5,1,2016-01-05
VZ,45.52,2,2016-01-06
VZ,45.27,3,2016-01-07
VZ,44.830002,4,2016-01-08
VZ,45.09,0,2016-01-11
VZ,44.93,1,2016-01-12
VZ,44.150002,2,2016-01-13
VZ,44.869999,3,2016-01-14
VZ,44.43,4,2016-01-15
VZ,44.869999,1,2016-01-19
VZ,44.419998,2,2016-01-20
VZ,45.869999,3,2016-01-21
VZ,47.040001,4,2016-01-22
VZ,47.029999,0,2016-01-25
VZ,48.25,1,2016-01-26
VZ,49.029999,2,2016-01-27
VZ,49.009998,3,2016-01-28
VZ,49.970001,4,2016-01-29
VZ,50.759998,0,2016-02-01
VZ,49.91,1,2016-02-02
VZ,50.619999,2,2016-02-03
VZ,50.43,3,2016-02-04
VZ,50.970001,4,2016-02-05
VZ,50.740002,0,2016-02-08
VZ,50.150002,1,2016-02-09
VZ,49.98,2,2016-02-10
VZ,49.389999,3,2016-02-11
VZ,50.110001,4,2016-02-12
VZ,50.240002,1,2016-02-16
VZ,50.32,2,2016-02-17
VZ,50.939999,3,2016-02-18
VZ,50.860001,4,2016-02-19
VZ,51.07,0,2016-02-22
VZ,50.630001,1,2016-02-23
VZ,50.82,2,2016-02-24
VZ,51.110001,3,2016-02-25
VZ,51.02,4,2016-02-26
VZ,50.73,0,2016-02-29
VZ,51.459999,1,2016-03-01
VZ,52.119999,2,2016-03-02
VZ,51.889999,3,2016-03-03
VZ,51.810001,4,2016-03-04
VZ,52.209999,0,2016-03-07
VZ,52.459999,1,2016-03-08
VZ,52.34,2,2016-03-09
VZ,52.32,3,2016-03-10
VZ,52.529999,4,2016-03-11
VZ,52.540001,0,2016-03-14
VZ,52.669998,1,2016-03-15
VZ,53.209999,2,2016-03-16
VZ,53.630001,3,2016-03-17
VZ,53.240002,4,2016-03-18
VZ,53.439999,0,2016-03-21
VZ,53.209999,1,2016-03-22
VZ,52.91,2,2016-03-23
VZ,53.560001,3,2016-03-24
VZ,53.400002,0,2016-03-28
VZ,54.049999,1,2016-03-29
VZ,54.040001,2,2016-03-30
VZ,54.080002,3,2016-03-31
VZ,54.009998,4,2016-04-01
VZ,54.419998,0,2016-04-04
VZ,54.09,1,2016-04-05
VZ,53.52,2,2016-04-06
VZ,52,3,2016-04-07
VZ,52.18,4,2016-04-08
VZ,51.610001,0,2016-04-11
VZ,51.950001,1,2016-04-12
VZ,51.290001,2,2016-04-13
VZ,51.360001,3,2016-04-14
VZ,51.349998,4,2016-04-15
VZ,51.73,0,2016-04-18
VZ,52.080002,1,2016-04-19
VZ,51.75,2,2016-04-20
VZ,50.029999,3,2016-04-21
VZ,50.549999,4,2016-04-22
VZ,50.759998,0,2016-04-25
VZ,50.439999,1,2016-04-26
VZ,51.689999,2,2016-04-27
VZ,51.02,3,2016-04-28
VZ,50.939999,4,2016-04-29
VZ,51.32,0,2016-05-02
VZ,50.68,1,2016-05-03
VZ,50.84,2,2016-05-04
VZ,50.84,3,2016-05-05
VZ,51.119999,4,2016-05-06
VZ,51.080002,0,2016-05-09
VZ,51.540001,1,2016-05-10
VZ,51.150002,2,2016-05-11
VZ,51.470001,3,2016-05-12
VZ,50.939999,4,2016-05-13
VZ,51.23,0,2016-05-16
VZ,50.900002,1,2016-05-17
VZ,50.389999,2,2016-05-18
VZ,49.630001,3,2016-05-19
VZ,49.66,4,2016-05-20
VZ,49.139999,0,2016-05-23
VZ,49.580002,1,2016-05-24
VZ,49.849998,2,2016-05-25
VZ,50.16,3,2016-05-26
VZ,50.619999,4,2016-05-27
VZ,50.900002,1,2016-05-31
VZ,50.43,2,2016-06-01
VZ,50.77,3,2016-06-02
VZ,50.919998,4,2016-06-03
VZ,50.709999,0,2016-06-06
VZ,51.75,1,2016-06-07
VZ,51.52,2,2016-06-08
VZ,51.950001,3,2016-06-09
VZ,52.669998,4,2016-06-10
VZ,52.57,0,2016-06-13
VZ,52.990002,1,2016-06-14
VZ,52.84,2,2016-06-15
VZ,53.459999,3,2016-06-16
VZ,53.779999,4,2016-06-17
VZ,53.759998,0,2016-06-20
VZ,54.099998,1,2016-06-21
VZ,54.029999,2,2016-06-22
VZ,54.669998,3,2016-06-23
VZ,54.43,4,2016-06-24
VZ,54.740002,0,2016-06-27
VZ,54.82,1,2016-06-28
VZ,55.060001,2,2016-06-29
VZ,55.84,3,2016-06-30
VZ,56.23,4,2016-07-01
VZ,56.529999,1,2016-07-05
VZ,56.259998,2,2016-07-06
VZ,55.380001,3,2016-07-07
VZ,55.900002,4,2016-07-08
VZ,55.93,0,2016-07-11
VZ,55.470001,1,2016-07-12
VZ,56,2,2016-07-13
VZ,55.84,3,2016-07-14
VZ,55.84,4,2016-07-15
VZ,55.93,0,2016-07-18
VZ,55.700001,1,2016-07-19
VZ,55.619999,2,2016-07-20
VZ,55.369999,3,2016-07-21
VZ,56.099998,4,2016-07-22
VZ,55.869999,0,2016-07-25
VZ,54.810001,1,2016-07-26
VZ,55.32,2,2016-07-27
VZ,54.860001,3,2016-07-28
VZ,55.41,4,2016-07-29
VZ,54.5,0,2016-08-01
VZ,54,1,2016-08-02
VZ,53.900002,2,2016-08-03
VZ,53.93,3,2016-08-04
VZ,53.639999,4,2016-08-05
VZ,53.59,0,2016-08-08
VZ,53.66,1,2016-08-09
VZ,53.810001,2,2016-08-10
VZ,53.860001,3,2016-08-11
VZ,53.650002,4,2016-08-12
VZ,53.610001,0,2016-08-15
VZ,52.759998,1,2016-08-16
VZ,53.169998,2,2016-08-17
VZ,52.869999,3,2016-08-18
VZ,52.450001,4,2016-08-19
VZ,52.549999,0,2016-08-22
VZ,52.630001,1,2016-08-23
VZ,52.529999,2,2016-08-24
VZ,52.75,3,2016-08-25
VZ,52.07,4,2016-08-26
VZ,52.5,0,2016-08-29
VZ,52.27,1,2016-08-30
VZ,52.330002,2,2016-08-31
VZ,52.560001,3,2016-09-01
VZ,52.880001,4,2016-09-02
VZ,53.509998,1,2016-09-06
VZ,53.709999,2,2016-09-07
VZ,53.599998,3,2016-09-08
VZ,51.82,4,2016-09-09
VZ,52.57,0,2016-09-12
VZ,51.450001,1,2016-09-13
VZ,51.490002,2,2016-09-14
VZ,51.98,3,2016-09-15
VZ,51.880001,4,2016-09-16
VZ,51.200001,0,2016-09-19
VZ,51.27,1,2016-09-20
VZ,51.869999,2,2016-09-21
VZ,52.349998,3,2016-09-22
VZ,52.560001,4,2016-09-23
VZ,52.150002,0,2016-09-26
VZ,52.490002,1,2016-09-27
VZ,52.060001,2,2016-09-28
VZ,52.119999,3,2016-09-29
VZ,51.98,4,2016-09-30
VZ,51.880001,0,2016-10-03
VZ,51.259998,1,2016-10-04
VZ,50.27,2,2016-10-05
VZ,50.259998,3,2016-10-06
VZ,49.919998,4,2016-10-07
VZ,50.189999,0,2016-10-10
VZ,49.900002,1,2016-10-11
VZ,50.299999,2,2016-10-12
VZ,50.290001,3,2016-10-13
VZ,50.279999,4,2016-10-14
VZ,50.43,0,2016-10-17
VZ,50.27,1,2016-10-18
VZ,50.380001,2,2016-10-19
VZ,49.139999,3,2016-10-20
VZ,48.200001,4,2016-10-21
VZ,48.209999,0,2016-10-24
VZ,47.84,1,2016-10-25
VZ,47.630001,2,2016-10-26
VZ,48.540001,3,2016-10-27
VZ,48.209999,4,2016-10-28
VZ,48.099998,0,2016-10-31
VZ,47.66,1,2016-11-01
VZ,46.939999,2,2016-11-02
VZ,46.869999,3,2016-11-03
VZ,47.080002,4,2016-11-04
VZ,47.459999,0,2016-11-07
VZ,47.650002,1,2016-11-08
VZ,47.860001,2,2016-11-09
VZ,46.689999,3,2016-11-10
VZ,46.689999,4,2016-11-11
VZ,46.18,0,2016-11-14
VZ,47.369999,1,2016-11-15
VZ,47.93,2,2016-11-16
VZ,47.84,3,2016-11-17
VZ,48.07,4,2016-11-18
VZ,48.310001,0,2016-11-21
VZ,49.490002,1,2016-11-22
VZ,50.23,2,2016-11-23
VZ,50.669998,4,2016-11-25
VZ,51.119999,0,2016-11-28
VZ,50.959999,1,2016-11-29
VZ,49.900002,2,2016-11-30
VZ,49.869999,3,2016-12-01
VZ,49.810001,4,2016-12-02
VZ,49.75,0,2016-12-05
VZ,50.360001,1,2016-12-06
VZ,51.380001,2,2016-12-07
VZ,51.130001,3,2016-12-08
VZ,51.490002,4,2016-12-09
VZ,51.759998,0,2016-12-12
VZ,52.360001,1,2016-12-13
VZ,51.630001,2,2016-12-14
VZ,51.810001,3,2016-12-15
VZ,52.27,4,2016-12-16
VZ,52.91,0,2016-12-19
VZ,53.119999,1,2016-12-20
VZ,52.970001,2,2016-12-21
VZ,53.650002,3,2016-12-22
VZ,53.68,4,2016-12-23
VZ,53.639999,1,2016-12-27
VZ,53.439999,2,2016-12-28
VZ,53.740002,3,2016-12-29
VZ,53.380001,4,2016-12-30
VZ,54.580002,1,2017-01-03
VZ,54.52,2,2017-01-04
VZ,54.639999,3,2017-01-05
VZ,53.259998,4,2017-01-06
